Digit:0-Signal:Voz1.wav	Digit:0-Signal:Voz1.wav	Digit:0-Signal:Voz5.wav	Digit:0-Signal:Voz5.wav	Digit:0-Signal:Voz20.wav	Digit:0-Signal:Voz20.wav	Digit:1-Signal:Voz1.wav	Digit:1-Signal:Voz1.wav	Digit:1-Signal:Voz5.wav	Digit:1-Signal:Voz5.wav	Digit:1-Signal:Voz20.wav	Digit:1-Signal:Voz20.wav	Digit:2-Signal:Voz1.wav	Digit:2-Signal:Voz1.wav	Digit:2-Signal:Voz5.wav	Digit:2-Signal:Voz5.wav	Digit:2-Signal:Voz20.wav	Digit:2-Signal:Voz20.wav	Digit:3-Signal:Voz1.wav	Digit:3-Signal:Voz1.wav	Digit:3-Signal:Voz5.wav	Digit:3-Signal:Voz5.wav	Digit:3-Signal:Voz20.wav	Digit:3-Signal:Voz20.wav	Digit:4-Signal:Voz1.wav	Digit:4-Signal:Voz1.wav	Digit:4-Signal:Voz5.wav	Digit:4-Signal:Voz5.wav	Digit:4-Signal:Voz20.wav	Digit:4-Signal:Voz20.wav	Digit:5-Signal:Voz1.wav	Digit:5-Signal:Voz1.wav	Digit:5-Signal:Voz5.wav	Digit:5-Signal:Voz5.wav	Digit:5-Signal:Voz20.wav	Digit:5-Signal:Voz20.wav	Digit:6-Signal:Voz1.wav	Digit:6-Signal:Voz1.wav	Digit:6-Signal:Voz5.wav	Digit:6-Signal:Voz5.wav	Digit:6-Signal:Voz20.wav	Digit:6-Signal:Voz20.wav	Digit:7-Signal:Voz1.wav	Digit:7-Signal:Voz1.wav	Digit:7-Signal:Voz5.wav	Digit:7-Signal:Voz5.wav	Digit:7-Signal:Voz20.wav	Digit:7-Signal:Voz20.wav	Digit:8-Signal:Voz1.wav	Digit:9-Signal:Voz1.wav	Digit:8-Signal:Voz5.wav	Digit:9-Signal:Voz5.wav	Digit:8-Signal:Voz20.wav	Digit:9-Signal:Voz20.wav	Digit:9-Signal:Voz1.wav	Digit:9-Signal:Voz1.wav	Digit:9-Signal:Voz5.wav	Digit:9-Signal:Voz5.wav	Digit:9-Signal:Voz20.wav	Digit:9-Signal:Voz20.wav	
0.244082	0.010334	0.560664	0.107350	0.459397	0.083788	0.454074	0.031166	0.334147	0.111798	0.405605	0.024325	0.040794	0.000553	0.015776	0.000580	0.041758	0.000999	0.008035	0.000099	0.268190	0.015377	0.157506	0.005632	0.422420	0.130740	0.378930	0.117202	0.142129	0.003244	0.032569	0.002359	0.331090	0.095683	0.092470	0.005876	0.000873	0.000225	0.003230	0.000222	0.002080	0.000062	0.162113	0.016917	0.060413	0.007325	0.002219	0.000049	0.013018	0.019429	0.028958	0.071290	0.021441	0.011059	0.268828	0.019429	0.227225	0.071290	0.361008	0.011059	
0.018750	0.000670	0.162791	0.000000	0.068966	0.004167	0.113636	0.005040	0.129630	0.025463	0.033333	0.003196	0.002679	0.000045	0.002528	0.000047	0.004808	0.000015	0.000601	0.000017	0.059783	0.000237	0.004167	0.000434	0.204545	0.000000	0.125000	0.011719	0.008333	0.000244	0.002155	0.000349	0.068966	0.014423	0.018750	0.000000	0.000000	0.000017	0.000136	0.000010	0.000167	0.000009	0.028846	0.002170	0.003811	0.001563	0.000446	0.000009	0.000625	0.000422	0.005912	0.004596	0.000000	-0.000200	0.059211	0.000422	0.027174	0.004596	0.144737	-0.000200	
-0.025000	-0.000893	-0.139535	-0.016447	-0.103448	-0.010417	-0.090909	-0.004536	-0.055556	-0.018519	-0.133333	-0.000710	-0.005357	-0.000032	-0.001608	0.000000	-0.002404	-0.000046	-0.000701	-0.000010	-0.038043	-0.001657	-0.008333	-0.000868	-0.136364	-0.014423	-0.071429	-0.011719	-0.006250	-0.000366	-0.001616	-0.000279	-0.120690	-0.019231	-0.008333	-0.000804	-0.000059	-0.000017	-0.000091	-0.000019	-0.000084	-0.000005	-0.014423	-0.001085	-0.002287	-0.000558	-0.000112	-0.000004	-0.000937	-0.002111	-0.001267	-0.003676	-0.001234	-0.000801	-0.013158	-0.002111	-0.032609	-0.003676	-0.065789	-0.000801	
-0.056250	-0.000893	-0.209302	-0.026316	-0.172414	-0.016667	-0.159091	-0.004032	-0.111111	-0.020833	-0.116667	-0.002841	-0.005357	-0.000064	-0.001608	-0.000110	-0.003205	-0.000137	-0.000801	-0.000014	-0.054348	-0.001894	-0.025000	-0.000723	-0.136364	-0.016827	-0.089286	-0.019531	-0.022917	-0.000366	-0.004849	-0.000419	-0.086207	-0.016827	-0.008333	-0.000804	-0.000163	-0.000032	-0.000318	-0.000019	-0.000195	-0.000007	-0.024038	-0.002387	-0.006860	-0.001228	-0.000251	-0.000005	-0.001094	-0.001689	-0.004223	-0.005515	-0.002056	-0.001202	-0.059211	-0.001689	-0.054348	-0.005515	-0.065789	-0.001202	
-0.081250	-0.001786	-0.348837	-0.032895	-0.189655	-0.018750	-0.250000	-0.007056	-0.166667	-0.027778	-0.133333	-0.003196	-0.005357	-0.000084	-0.002987	-0.000079	-0.007212	-0.000183	-0.001302	-0.000019	-0.070652	-0.003788	-0.029167	-0.001736	-0.204545	-0.028846	-0.125000	-0.023438	-0.025000	-0.000610	-0.005388	-0.000558	-0.155172	-0.021635	-0.022917	-0.000919	-0.000163	-0.000047	-0.000409	-0.000045	-0.000307	-0.000012	-0.048077	-0.003472	-0.007622	-0.001451	-0.000363	-0.000009	-0.001719	-0.003801	-0.005068	-0.014706	-0.003701	-0.001603	-0.092105	-0.003801	-0.065217	-0.014706	-0.105263	-0.001603	
0.018750	0.000670	0.093023	0.006579	0.034483	0.006250	0.090909	0.003024	0.018519	0.009259	0.016667	0.000710	0.002232	0.000045	0.000689	0.000032	0.002404	0.000031	0.000300	0.000005	0.016304	0.000947	0.014583	0.000579	0.045455	0.007212	0.035714	0.007812	0.010417	0.000244	0.002694	0.000209	0.051724	0.009615	0.002083	0.000230	0.000074	0.000009	0.000136	0.000019	0.000084	0.000003	0.007212	0.000868	0.002287	0.000223	0.000140	0.000004	0.000313	0.000845	0.000845	0.003676	0.001234	0.000401	0.019737	0.000845	0.021739	0.003676	0.026316	0.000401	
0.018750	0.000670	0.093023	0.023026	0.051724	0.008333	0.068182	0.002016	0.055556	0.011574	0.050000	0.001776	0.003125	0.000026	0.000689	0.000047	0.002804	0.000092	0.000401	0.000010	0.005435	0.002367	0.014583	0.000289	0.090909	0.009615	0.035714	0.013672	0.010417	0.000305	0.002694	0.000419	0.051724	0.019231	0.008333	0.000460	0.000089	0.000017	0.000182	0.000032	0.000112	0.000008	0.016827	0.001736	0.002287	0.000446	0.000112	0.000004	0.000469	0.001689	0.002111	0.005515	0.001234	0.000601	0.026316	0.001689	0.021739	0.005515	0.039474	0.000601	
0.225000	0.015179	1.000000	0.263158	0.603448	0.133333	0.659091	0.054435	0.592593	0.175926	0.450000	0.022727	0.020536	0.000668	0.010110	0.002142	0.017228	0.002258	0.003606	0.000251	0.211957	0.054924	0.091667	0.017361	0.909091	0.225962	0.625000	0.156250	0.081250	0.003540	0.024784	0.008650	0.620690	0.259615	0.058333	0.008042	0.000858	0.000442	0.001681	0.000668	0.001060	0.000264	0.129808	0.026042	0.035823	0.015179	0.001060	0.000154	0.004844	0.029561	0.024493	0.139706	0.011513	0.016426	0.263158	0.029561	0.282609	0.139706	0.309211	0.016426	
-0.168750	-0.006920	-0.709302	-0.083882	-0.448276	-0.028646	-0.613636	-0.014617	-0.314815	-0.034722	-0.391667	-0.007812	-0.017411	-0.001336	-0.011949	-0.003339	-0.016827	-0.000534	-0.003906	-0.000809	-0.206522	-0.017045	-0.081250	-0.005064	-0.431818	-0.031250	-0.303571	-0.020020	-0.068750	-0.002197	-0.022091	-0.007812	-0.288793	-0.035457	-0.043750	-0.003274	-0.000843	-0.000523	-0.001295	-0.000167	-0.001786	-0.001161	-0.081731	-0.006510	-0.020198	-0.002623	-0.001451	-0.000646	-0.004141	-0.009079	-0.018581	-0.017004	-0.009663	-0.005108	-0.210526	-0.009079	-0.116848	-0.017004	-0.302632	-0.005108	
-0.375000	-0.128571	-0.837209	-0.736842	-0.465517	-0.183333	-0.727273	-0.387097	-1.037037	-0.370370	-0.366667	-0.068182	-0.053571	-0.044408	-0.088235	-0.088710	-0.015224	-0.005127	-0.030449	-0.030357	-0.304348	-0.151515	-0.108333	-0.087963	-0.954545	-0.500000	-0.517857	-0.140625	-0.056250	-0.029297	-0.181034	-0.223214	-0.586207	-0.201923	-0.066667	-0.058824	-0.017045	-0.016369	-0.004542	-0.002364	-0.030357	-0.048986	-0.230769	-0.152778	-0.051829	-0.026786	-0.025000	-0.029412	-0.026250	-0.148649	-0.070946	-0.117647	-0.034539	-0.060897	-0.368421	-0.148649	-0.315217	-0.117647	-0.250000	-0.060897	
