BARK or MEL	Wavelet	G1	G2	Distance from (1,0)
BARK	haar	0.93615	4.68316e-310	0.0638503
BARK	daub4	0.928088	4.68316e-310	0.0719123
BARK	daub6	0.927885	4.68316e-310	0.072115
BARK	coif6	0.927823	4.68316e-310	0.072177
BARK	sym8	0.92769	4.68316e-310	0.0723096
BARK	daub12	0.926541	4.68316e-310	0.073459
BARK	coif12	0.926479	4.68316e-310	0.0735206
BARK	daub10	0.925778	4.68316e-310	0.074222
BARK	coif18	0.925636	4.68316e-310	0.0743642
BARK	daub38	0.924105	4.68316e-310	0.0758951
BARK	daub58	0.923782	4.68316e-310	0.0762175
BARK	coif24	0.923759	4.68316e-310	0.0762411
BARK	daub32	0.923231	4.68316e-310	0.0767692
BARK	daub72	0.923049	4.68316e-310	0.076951
BARK	daub18	0.922752	4.68316e-310	0.0772476
BARK	daub76	0.922538	4.68316e-310	0.0774616
BARK	daub70	0.922464	4.68316e-310	0.0775363
BARK	daub16	0.922434	4.68316e-310	0.0775664
BARK	daub26	0.921938	4.68316e-310	0.0780617
BARK	daub20	0.921789	4.68316e-310	0.0782114
BARK	sym16	0.921534	4.68316e-310	0.0784657
BARK	daub40	0.921381	4.68316e-310	0.0786195
BARK	daub8	0.921189	4.68316e-310	0.0788111
BARK	daub62	0.921129	4.68316e-310	0.0788712
BARK	daub74	0.921103	4.68316e-310	0.0788972
BARK	daub22	0.921018	4.68316e-310	0.0789818
BARK	daub68	0.920958	4.68316e-310	0.0790417
BARK	daub52	0.920935	4.68316e-310	0.0790645
BARK	daub66	0.920698	4.68316e-310	0.0793024
BARK	vaidyanathan24	0.92032	4.68316e-310	0.0796802
BARK	daub46	0.920243	4.68316e-310	0.0797574
BARK	sym32	0.920126	4.68316e-310	0.0798735
BARK	daub64	0.919111	4.68316e-310	0.0808888
BARK	daub60	919	4.68316e-310	0.0809997
BARK	daub48	0.918767	4.68316e-310	0.081233
BARK	daub24	0.918569	4.68316e-310	0.0814307
BARK	coif30	0.918532	4.68316e-310	0.0814678
BARK	daub14	0.918381	4.68316e-310	0.0816185
BARK	daub54	0.918312	4.68316e-310	0.081688
BARK	daub44	0.918082	4.68316e-310	0.0819177
BARK	daub30	0.917617	4.68316e-310	0.0823828
BARK	beylkin18	0.917392	4.68316e-310	0.0826082
BARK	daub36	0.91732	4.68316e-310	0.0826799
BARK	daub56	0.917317	4.68316e-310	0.0826829
BARK	daub50	0.917195	4.68316e-310	0.0828052
BARK	daub28	0.916716	4.68316e-310	0.0832843
BARK	daub34	0.916594	4.68316e-310	0.0834055
BARK	daub42	0.916039	4.68316e-310	0.083961
MEL	haar	0.728548	4.68316e-310	0.271452
MEL	daub4	0.685787	4.68316e-310	0.314213
MEL	sym16	0.684548	4.68316e-310	0.315452
MEL	daub18	0.679639	4.68316e-310	0.320361
MEL	coif6	0.677144	4.68316e-310	0.322856
MEL	daub32	0.67416	4.68316e-310	0.32584
MEL	daub8	0.672315	4.68316e-310	0.327685
MEL	sym8	0.668039	4.68316e-310	0.331961
MEL	daub68	0.663504	4.68316e-310	0.336496
MEL	daub28	0.661634	4.68316e-310	0.338366
MEL	daub20	0.658861	4.68316e-310	0.341139
MEL	daub76	0.655598	4.68316e-310	0.344402
MEL	daub48	0.655121	4.68316e-310	0.344879
MEL	daub38	0.65436	4.68316e-310	0.34564
MEL	daub24	0.652545	4.68316e-310	0.347455
MEL	daub12	0.64926	4.68316e-310	0.35074
MEL	coif30	0.648829	4.68316e-310	0.351171
MEL	daub52	0.644251	4.68316e-310	0.355749
MEL	coif12	0.643978	4.68316e-310	0.356022
MEL	daub22	0.640718	4.68316e-310	0.359282
MEL	daub42	0.639246	4.68316e-310	0.360754
MEL	sym32	0.638775	4.68316e-310	0.361225
MEL	beylkin18	0.638489	4.68316e-310	0.361511
MEL	daub60	0.636271	4.68316e-310	0.363729
MEL	daub10	0.635707	4.68316e-310	0.364293
MEL	daub6	0.633899	4.68316e-310	0.366101
MEL	daub72	0.63358	4.68316e-310	0.36642
MEL	daub30	0.633288	4.68316e-310	0.366712
MEL	coif18	0.632984	4.68316e-310	0.367016
MEL	daub36	0.632521	4.68316e-310	0.367479
MEL	daub50	0.632417	4.68316e-310	0.367583
MEL	coif24	0.631428	4.68316e-310	0.368572
MEL	daub14	0.631203	4.68316e-310	0.368797
MEL	daub26	0.630454	4.68316e-310	0.369546
MEL	daub66	0.629427	4.68316e-310	0.370573
MEL	vaidyanathan24	0.627468	4.68316e-310	0.372532
MEL	daub16	0.624526	4.68316e-310	0.375474
MEL	daub44	0.622496	4.68316e-310	0.377504
MEL	daub46	0.62103	4.68316e-310	0.37897
MEL	daub64	0.61968	4.68316e-310	0.38032
MEL	daub58	0.617658	4.68316e-310	0.382342
MEL	daub62	0.614265	4.68316e-310	0.385735
MEL	daub74	0.611569	4.68316e-310	0.388431
MEL	daub56	0.611555	4.68316e-310	0.388445
MEL	daub70	0.604401	4.68316e-310	0.395599
MEL	daub40	0.602195	4.68316e-310	0.397805
MEL	daub34	0.590675	4.68316e-310	0.409325
MEL	daub54	0.552382	4.68316e-310	0.447618
